		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Pókbangó	Ophrys speghodes	füzér	lándzsás	ép	tőálló	kosbor	barna	hengeres				A kosborfélékhez tartozó bangók érdekes taktikához folyamodtak, hogy biztosítsák megporzásukat: rovarokat utánoznak, mesteri ügyességgel. Aránylag nagytermetű faj, bár virágai a bangók közül talán a legkevésbé feltűnőek. Lándzsa alakú tőlevelei fényes felületűek, kissé húsosak. Virágai a szár végén, fürtben nyílnak. A külső lepelkör tagjai zöld színűek, a belső lepelköré zöldesbarnák. A mézajak felfújt, vörösesbarna színű, finom szőrzettel borított, ez hivatott a teljes álcázást biztosítani. A mézajkon H vagy X betűt formázó mintázat található. Termése tok. Mocsár-és láprétek faja. Fokozottan védett, 100 000 forint.											
Pókhálós bojtorján	Arctium tomentosum	sátorozó	szív	fogas	nyeles	fészek	mikuláspiros	hengeres				Nitrogénben gazdag talajokon gyakori gyógynövény, gyökerét hasznosítják, de régen mint táplálékként fogyasztották. 60-120 cm magas, felálló, elágazó szárú, kétéves növény. Nagy, széles szíves-tojásdad levelei nyelesek, apró fogazott szélűek. Fonákjukon szürkésfehéren molyhosak. A tőlevelek nyele vörös színű, belül tömör bélszövetű. Fészekvirágai sátorozó bogernyőbe nyílnak. Az egyes fészkek 1,5-3 cm átmérőjűek, gömb alakúak, a csöves virágok bíborszínűek. A nyelves sugárvirágok hiányoznak. A fészekpikkelyek csúcsa horgas, visszahajló, ennek segítségével terjed, úgy, hogy állatok szőrébe, ruházatba kapaszkodik. A fészek örvök tömötten ezüstösen szőrösek. Július- szeptemberben nyílik parlagokon, ártereken, gyomtársulásokban.											
Pokolvarlibatop	Chenopodium hybridum	füzér	karéjos	ép	nyeles	redukált	sárga	hengeres				A libatop régi neve libatalp, ezt a levelek alakja miatt kapta. Gyakori gyomnövények, szinte bárhol találkozhatunk velük. 20-100 cm magas, terebélyesen elágazó egyéves gyomnövény. Levelei világoszöldek, tojásdad kerületűek, öblösen fogas szélűek vagy karéjosak. Fonáka és felszíne kopasz. A kicsi, zöldes színű virágok tömött füzérekben nyílnak (gomoly virágzat), nem feltűnőek. (A nemzetség egyes tagjai allergiát okozhatnak). Bolygatott talajok, szántóföldek, parlagok, mezőgazdasági területek gyakori növénye, júliustól őszig virágzik.											
Poloskagyom	Bifora radians	ernyő	szálas	ép	ülő	5 tagú	rózsaszín	hengeres				Nevét jellegzetes, erős illatáról kapta, mely főleg akkor érezhető, ha nagy egyedszámban fordul elő. Általában a család minden tagja tartalmaz erős illóanyagokat ( pl. a kertben termesztett sárgarépa vagy zeller). Szára már a föld felett dúsan elágazik, terpedten ágas. Az egész növény kopasz. Levelei kétszeresen szárnyaltak, a szárnyacskák finoman szálasak, keskenyek- a házi kapor leveléhez hasonlítanak. A levelek egy félkör alakú levélhüvellyel futnak le a szárra. Fehér vagy halvány-rózsaszín, apró virágai több kis ernyőből álló összetett ernyőben állnak a szár végén. Termése ikerkaszat. Július és augusztus között virágzik szántókon, művelt talajú területeken.											
Poloskavész	Cimicifuga racemosa	fürt	szárnyalt	fűrészes	nyeles	egyedi*	fehér	hengeres				Hazánk igazi ritkasága, egyetlen biztos lelőhelye a Bükkben van. Virágtalan állapotban összetéveszthető a békabogyóval, de virágzó és terméses állapotban könnyen felismerhető. Egy méternél is magasabbra nőhet karcsú szára. Levelei többszörösen összetettek, a levélkék tojásdadok, fűrészes szélűek. A kicsi, sárgás színű virágok karcsú fürtben nyílnak. A porzók hosszabbak a szirmoknál, így kiállnak a virágokból. Termése lapos, szőrös mag, emiatt kapta nevét, mivel a mag poloskára hasonlít. Üde, hegyvidéki szurdokerdők faja, védett, eszmei értéke 10 000 forint. Május-júniusban virágzik.											
Polyhos zsálya	Salvia austrica	fürt	lándzsás	ép	ülő	ajakos	fehér	szögletes				Teljesen fehér virága és az egész növényt borító szürke szőr miatt könnyen elkülöníthető faj. A népnyelv (és erre az elnevezésre utal latin neve is) Osztrák zsályaként emlegeti. 50 – 80 centiméteresre megnövő fehér virágú zsályaféle. Jellegzetessége az egész növényt beporító szürkés színű szőrzet. Szára a többi Magyarországon előforduló zsályaféléhez hasonlóan szögletes, elágazó. A levelek csak az első elágazásig borítják a szárat. Tőlevélrózsája nagy méretű, erősen ráncos és szív alakú. A száron található levelei ülők, hosszúkás lándzsás alakúak, fűrészes szélűek.											
Pompás örménygyökér	Inula helenium	magányos	lándzsás	fogas	ülő	fészek	sárga	hengeres				Gyógynövény, de csak orvosi felügyelettel, pontosan adagolva alkalmazható erős hatóanyagi miatt. Latin neve, az Inula az inulin szóból származik. Egy-másfél méter magasra növő, termetes növény. Leveleinek fonáka fehéren molyhos, selymes tapintású. Alsó levelei nyelesek, a felsők ülők, vállasak. Mindkét levél széles lándzsa alakú, szélük fogazott. Virágai 3-5 cm átmérőjűek, sárga nyelves és csöves virágok alkotják ( küllemre a borzas peremizsre hasonlít, egy nemzetségbe tartoznak), A szár a felső részén elágazó, minden elágazás végén ül egy virág. Termése kaszat. Június-augusztus hónapokban találkozhatunk vele utak mentén, réteken, vágásokban. Védett, eszmei értéke 5000 forint.											
Pongyola harangvirág	Campanula sibirica	fürt	lándzsás	fűrészes	tőálló	forrt	lila	hengeres				A harangvirágok nevüket a forrt szirmú, bókoló virágaik miatt kapták, melyek apró csengettyűk módjára ülnek a száron. Régi nevük is csengettyűke volt, még a család neve is ez volt, később lett harangvirágfélék. Vörössel futtatott, merev serteszőröktől darva tapintású. A levelek többsége tőlevélrózsát alkot, de néhány szárlevele is van. A szárhoz hasonlóan szőrösek, de valamivel finomabb tapintásúak. Alakjuk lehet lapát vagy lándzsa, szélük finoman fűrészes. A virágok a szár csúcsán laza fürtben nyílnak, néhány cm-es kocsányon. A hegyes csúcsú csészelevelek is szőrösek. A hat forrt sziromból álló virág lila színű, bókoló, kicsit összehajló. Termése tok. Száraz sziklagyepeken, réteken, sziklalejtőkön találkozhatunk vele, április végétől virágzik.											
Pongyola pitypang	Taraxacum officinale	magányos	hasogatott	ép	tőálló	fészek	sárga	hengeres				A pongyola pitypangot vagy gyermekláncfüvet mindenki ismeri, kedvelt gyerekjáték szárából láncot fűzni, termését szétfújni. Gyógynövény, és főzelék, saláta alapanyaga is lehet zsenge levele. Felálló szára hengeres, belül üreges, megtörve fehér tejnedvet ereszt, ami azután megbarnul. Levelei tőlevélrózsát alkotnak, szárnyasan hasogatottak. A virágokat számtalan sárga, csöves virág alkotja, maga a virágzat magányosan nyílik a szár végén ( előfordulhat olyan is, hogy a fejlődés során egy vagy több virág összenő egy közös száron). Termése jellegzetes gömb alakú, sok szőrbóbitás kaszat alkotja, melyek éretten a legkisebb érintésre vagy szélfuvallatra is szétrebbenek. Április-május környékén virágzik, Hazánkban mindenfelé tömeges, néha egész réteket borít aranyló sárgába. Kertekben, gyepen agresszív, gyorsan terjedő gyomnövény.											
Posvány sás	Carex acutiformis	füzér	szálas	ép	ülő	redukált	fehér	háromélű				Mocsaras, lápos területek gyakori sás-faja, a talajvízzel elöntött, pangóvizes területeken nagyon hamar megjelenik. Jellegzetes virága miatt könnyen felismerhető. Egész Európában elterjedt és gyakori faj, több társulás domináns faja. Évelő faj, termése mellett hosszú föld alatt kúszó tarackjai is segítik a terjeszkedésben. Érdes felületű szára háromélű (ez általában jellemző a sásokra), levelei gyakran még a méternél magasabb száron is túlnőnek. Április - május hónapban virágzik.											
Prémes tárnicska	Gentianella ciliata	magányos	lándzsás	ép	ülő	egyedi*	lila	hengeres				A tárnicsokat enciánnak is hívják. Virágszínükről még egy árnyalatot is elneveztek. Persze nem minden tárnics kék, pl. sárga virágúak is akadnak közöttük. Kis termetű, havasi jellegű növény. Vékony szára ritkán ágazik el. Levelei keskeny lándzsásak vagy szálasak, ép szélűek, keresztben átellenes állásúak. Apró virágai élénk kékek, négy tagúak, forrt csészéjűek és pártájúak. A hegyes csúcsú szirmok finoman rojtos szélűek, ezért tűnik úgy, mintha prémet viselne. Termése tok. Hegyi rétek, kaszálók, erdőszélek vadvirága. Magyarországon ritka, védett faj. Eszmei értéke 10 000 forint.											
Pukkanó dudafürt	Colutea arborescens	fürt	összetett	ép	nyeles		sárga		repedezett	szürke	hüvely	Jellegzetes, bokros növésű cserjefaj, 25 fajból álló nemzetségének egyetlen hazai képviselője. Nevét éréskor felfújódó jellegzetes terméséről kapta. Hazánkban mediterrán flóraelemként tartják számon. Fő elterjedési területét Nyugat-Afrika, Dél-Ázsia illetve Dél-Európa meleg területein találjuk. Akár 4 méter magasra is megnőhet, egyedül a Bokros koronafürttel téveszthetjük össze, azonban ez a faj csak a Balaton-felvidéken fordul elő, valamint termése és levele egyaránt jelentősen különbözik a Pukkanó dudafürttől. Ennek a fajnak összetett leveleit +-10 kicsípett végű levélke alkotja, fürtben álló virágainak pártáján rendszerint vörösbarna minta található. Májustól augusztusig folyamatosan virágzik, így a termést és a virágokat egyszerre láthatjuk a fán. Felfújt hüvelytermésében rendszerint ötnél több mag fejlődik. A felfújt tok a széllel való terjedés elősegítését szolgálja. Magjai mérgezőek. Kertészeti felhasználás Látványos termése és nagy méretű virágai miatt elég sok idegen országba telepítették. Mivel termése jól terjed a széllel, ezért elég hamar megszökött és a külföldi flórák idegen elemévé vált.											
Ragadós galaj	Galium aparine	ernyő	szálas	ép	örvös	4 tagú	fehér	szögletes				A galajokat könnyű felismerni, mert a család nagy részének örvös levélállása van, és az apró virágok alakja is jellegzetes. Több fajuk is-mint a ragadós galaj-gyógynövény. Vékony szára a többi növényre támaszkodva majdnem másfél méteres magasságot is elérhet-de ez a faj nem élősködő. Szárát és leveleit, valamint termését egyaránt apró, horgas szőrök borítják, ettől tűnik a növény ragdósnak, mintha enyves lenne. Valójában a horgas szőrök akadnak bele az ember ruhájába, sőt bőrbe is. A termés esetében a terjedést segítik a szőrök. Szálas levelei ép szélűek (eltekintve a szőröktől), örvös lerendezésben helyezkednek el a száron. Apró, fehér, nagy tagú virágai ernyőt alkotnak, nem feltűnőek. Termése petymegtermés. Május-júniusban virágzik, de ragaszkodó hatásaival ezután is találkozhatunk erdőkben, erdőszéleken, művelt földterületek közelében.											
Rekenyő	Rapistrum perenne	fürt	hasogatott	fűrészes	nyeles	4 tagú	sárga	hengeres				Népes család a káposztaféléké vagy keresztesvirágúakért. Sok kerti és szántóföldi növény is ide tartozik, mint pl. a retek, torma, repce, káposzta-félék, karalábé, stb. Felálló, szétterülő hajtású növény, mely kissé lapított vagy szabályos gömb alakú bokrot képez. Karéjos levele vastag, hamvas felületű, kékes vagy sötétzöld. Sárgás színű, négy szirmú virágai fürtben nyílnak. Becőke termése van. Június-júliusban virít réteken, útszéleken, mezőgazdasági táblák mellett.											
Rekettyelevű gyújtoványfű	Linaria genistifolia	fürt	lándzsás	ép	ülő	egyedi*	sárga	hengeres				Kertekbe ültetett rokonát, az oroszlánszájat bizonyára sokan ismerik, és játszottak is vele: ha a virág két oldalát összenyomjuk, az szájszerűen kinyílik. A gyujtoványfű gyógynövény is: izzasztó, hashajtó. Magyar elnevezését bizonyára alakjáról kapta, mely a gyertya lángjára emlékeztet ( e fajnak még színe is hasonló, de vannak rózsaszín, lila virágú fajai is). Vékony szára meglepően erős, szinte lehetetlen leszedni. Elágazó. Levelei szórt állásúak, ülők, ép szélűek, hegyes csúcsúak. Keskenyek, lándzsa alakúak, hamvas kékeszöldek. A viaszos bevonat szerepe a párologtatás csökkentése,mivel száraz, meleg bokorerdők, sziklalejtők, törmeléklejtők, sziklagyepek faja. Virágai élénksárgák, egy cm nagyok, hosszú sarkantyújuk hátranyúlik. A szár végén fürtben állnak. A növény „szája” a rászálló rovar súlyától kinyílik, így tudja beporozni. Termése sok apró magot tartalmazó tok. Július és szeptember között találkozhatunk vele.											
Réti aggófű	Senecio aquaticus subsp. barbareifolius	sátorozó	hasogatott	fűrészes	nyeles	fészek	sárga	hengeres				Tulajdonképpen a Senecio aquaticus, Vízi aggófű egyik alfaja. Méter magasra is megnövő faj, szára felálló. Levelei hasogatottak (kacúrosak), szélük fűrészes, felszínük finoman, fehéren molyhos. Sárga fészek virágai sátorozó virágzatot alkotnak, csöves és nyelves virágok egyaránt alkotják. A virágok 1-2 cm átmérőjűek. Termése kaszat. Nedves rétek nyár eleji virága.											
Réti boglárka	Ranunculus acris	magányos	összetett	fűrészes	nyeles	5 tagú	sárga	hengeres				A boglárkafélék névadó nemzetsége nagyon változatos: virágaik lehetnek sárgák vagy fehérek, levelük lándzsás vagy szárnyalt, tenyeresen osztott. Élőhelyük is sokféle, mocsárréttől a száraz gyepig. Közös jellemzőjük, hogy mérgezőek. Vaskos, üreges, hamvas felületű szára felálló, kopasz. A levelek tenyeresen osztottak, sok vékony, szálas cimpára hasadtak. A cimpák csúcsa hegyes, szélük ép. A tőlevelek nyelesek, a szárlevelek ülőek vagy rövid nyelűek. A szár a csúcsközelben többször elágazik, de a virágok magányosan nyílnak a kocsányokon A sárga, tojásdad, fényes szirmok száma öt, sok porzója van. A csészelevelek finoman szőrösek. Termése aszmagcsokor. Áprilistól virágzik június-júliusig, réteken, utak szélén.											
Réti ecsetpázsit	Alopecurus pratensis	buga	szálas	ép	ülő	redukált	fehér	szalmaszár				Az egész ország területén gyakori pázsitfűféle, mely akár méteres magasságot is elérhet. Nevét tömött bugavirágzatáról kapta. Laza, bokros növekedésű évelő faj mellyel jellemzően üde hegyi réteken, illetve üde legelőkön, mezőkön találkozhatunk. A pázsitfűfélékre jellemző szárcsomókból általában nagyon kevés található rajta, a száron található leveleinek mérete fokozatosan csökken a virágzat felé haladva. A levél enyhén érdes felületű, a levélcsúcs hegyes. Tömött bugavirágzata, halványlila árnyalatú.											
Réti füzény	Lythrum salicaria	füzér	lándzsás	fogas	ülő	6 tagú	bíbor	szögletes				Latin nevében a 'Salicaria' valószínűleg a 'Salix'-ra utal, ami fűzfát jelent-levelei valóban a füzekéhez hasonlók, keskenyek. Gyógynövény, régen gyomor-és bélbetegséget kezelésére használták. Szára négyszögletes, felálló, erős, némileg szőrös vagy molyhos. Levelei ülők, az alsók kettesével-hármasával, a felsők magányosan ülnek. Lándzsás alakúak, szélük ép, csúcsuk hegyes. Virágai tömött füzérben nyílnak a szár csúcsán, feltűnő szépségűek, sötét bíbor rózsaszínek. Termése sok magvú tok. Június-szeptemberben virágzik folyók, patakok mentén, mocsarakban, lápréteken, nedves élőhelyeken.											
Réti imola	Centaurea jacea	magányos	elliptikus	ép	nyeles	fészek	bíbor	szögletes				A Centaurea nemzetségbe imola vagy búzavirág fajok tartoznak. Virágaik sárga, lila, bíbor vagy kék színűek, de a nemes kerti változatok között találunk fehér és rózsaszín példányokat is. Majdnem egy méter magas szára élelt. Alsó levelei tojásdadok, lándzsásak vagy elliptikusak, a felsők lándzsásak vagy elliptikusak. A levél csúcsa tompa vagy alig hegyes. A levéllemez többnyire ép, vagy nagyon gyengén osztott. A levél széle ép vagy finoman fűrészes. Fészekvirágzatai egyesével állnak, bíbor színűek. Csak csöves virágai vannak, a szélsők az imolákra jellemző módon sallangosak. Fészekpikkelyei rojtos szélűek. Termése kaszat. Rétek, szántók, útszélek növénye.											
Réti iszalag	Clematis integrifolia	magányos	lándzsás	ép	átnőtt	4 tagú	lila	hengeres				A legtöbb iszalag faj kúszónövény, de a réti iszalag kivételt képez. Magyarországon védett vadvirág, az eszmei értéke 2000 forint. Felálló szára 20-50 cm magasra nő meg. Levelei a száron keresztbe átellenesen nőnek, tojásdadok, a levélszél és levéllemez egyaránt ép, vége kihegyezett. A szár végén magányosan fejlődik a liláskék, 4-5 tagú, csavarodott szirmú virágok ( ezek valójában elszíneződött csészelevelek). A porzók sárgák. Termése aszmagcsokor, mint az erdei iszalagnak, de jóval rövidebb. Május és szeptember között virágzik nedvesebb, nyirkosabb talajú réteken, legelőkön. Az iszalagok nemesített változatai nagy népszerűségnek örvendenek a kertbarátok között.											
Réti kakukkszegfű	Lychnis flos-cuculi	magányos	szálas	ép	ülő	5 tagú	rózsaszín	hengeres				A buglyos szegfűtől, amely hazánk védett ritkasága, kevésbé szabdalt, sötétebb virágai különböztetik meg. Virágzás idején a nedves réteket rózsaszín virágtengerré változtathatja. 30-70 cm magasra nővő, elágazó szárú szegfűféle. A szár kissé szőrös,vékony, egyenes felálló. Levele kétféle: az alsók lándzsásak, nyelesek, finoman szőrösek lehetnek, a felsők szálasak, ülők, kopaszak. Mindkét levél széle ép, és keresztben átellenes állásúak. Virágai laza bogernyőben virítanak. Halvány rózsaszínek, átmérőjűk 3-4 cm, mélyen (majdnem tövig) hasadtak, négy keskeny sallangra osztottak. Termése 5 foggal nyíló tok, fekete magokkal. Május- július hónapokban találkozhatunk vele nedves réteken, üde erdőkben, mocsarakban, patakparton.											
Réti kakukktorma	Cardamine pratensis	fürt	összetett	ép	ülő	4 tagú	fehér	hengeres				Latin nevében a 'cardamine' szó talán a kardamom nevű fűszerre utal. Említik főzeléknövényként is. Vizes élőhelyen gyakori. Vaskos, üreges szára van. Levelei összetettek, keskeny-szálas, ép szélű szeletkék alkotják, páratlanul szárnyaltnak emiatt tűnik. A levelek ülőek, nyél nélkül kapcsolódnak a szárhoz. A szár felső része lehet enyhén vöröses futtatású. A virágok lapított, szárvégi fürtben nyílnak március és május között. Fehér színűek, néha enyhe lilás színezettel. Négytagúak, mint a család többi tagja is. Termése vékony, keskeny, szálas becő. Vizes réteken, tocsogókban, patakok, tavak partján, belvizes és elárasztott területeken virágzik, tömeges lehet, ilyenkor messziről könnyen észrevehető fehér foltja. Sokszor együtt virágzik a mocsári gólyahírrel.											
Réti kardvirág	Gladiolus imbricatus	forgó	kard	ép	tőálló	6 tagú	bíbor	hengeres				A kardvirág nemesített változatait szinte minden színben megtaláljuk a kertekben, léteznek telt virágú, fodros szélű fajták, mini és óriás méretben. Nagyon jellegzetes, legfeljebb a mocsári kardvirággal összetéveszthető faj (de ennek levelei hegyes csúcsúak, kevesebb virága van és termése tojásdad, tompa csúcsú). A réti kardvirág kard alakú levelei néhány cm szélesek, ép szélűek, az alsó levél csúcsa lekerekített. Virágai jellegzetesek, bíborvörös színűek, füzérnek látszó forgó virágzatban nyílnak, egy oldalra nézve. A virágok száma 3-10. Bár kisebbek a nemesített változatokinál, színük sokkal intenzívebb. Toktermése hegyes csúcsú. Főleg a Zemplén hegyi rétjein él, Hazánk ritka, védett kincse, eszmei értéke 10 000 forint.											
Réti lednek	Lathyrus pratensis	fürt	lándzsás	ép	nyeles	pillangós	sárga	szögletes				Csaknem egész Európában előfordul, a legközönségesebb Magyarországon előforduló lednek faj. Keserű anyagot tartalmaz, ezért a mezőn legelő állatok nem fogyasztják. Gyöktörzses évelő növény. Hazánkban sokfelé előfordul, mezőkön, irtásokon, legelőkön. Szára szögletes, apró a szárhoz simuló szőrökkel borított, vagy teljesen kopasz. Levelei párosan szárnyaltak, csak egy pár található belőlük, lándzsa alakúak és a szárhoz nyéllel kapcsolódnak. Virága sárga színű, a levél hónaljában 3-10-esével nő. Termése a többi lednekéhez hasonlóan hüvelytermés, amely a 3 centiméteres hosszúságot ritkán haladja meg.											
Réti legyezőfű	Filipendula ulmaria	buga	szárnyalt	fűrészes	nyeles	5 tagú	fehér	hengeres				A legyezőfüvek nevüket a virágzat alakjáról kapták, mely egy szétterített legyezőre hasonlít. Magyarországon két faj fordul elő: a koloncos legyezőfű a szárazabb, napsütötte rétek virága, a réti legyezőfű nedvesebb, üdébb réteken virít. Tekintélyes méretű, egy méteresre is megnövő faj. Levelei páratlanul szárnyaltak, több pálhalevélkével, amik jóval kisebbek a részlevélkéktől. Ezek lándzsa alakúak, ráncos felületűek, fűrészes szélűek. A levélpárok nem teljesen egymással szemben helyezkednek el (mint pl. a bükkönyöknél), hanem kicsit mintha el lennének csúszva. Az utolsó levélpár és a csúcslevél össze vannak nőve, mintha egy három karéjú levélben végződne. A kicsi, öt tagú fehér vagy sárgásfehér virágok sátorozó virágzatot alkotnak. Termése hegyes aszmagokból álló kerek aszmagcsokor. A koloncos legyezőfűtől levele és termete alapján tudjuk megkülönböztetni.											
Réti madárhúr	Cerastium fontanum subsp. vulgare	magányos	lándzsás	ép	ülő	5 tagú	fehér	hengeres				A madárhúr nemzetség tagjai a szegfűfélék kevésbé feltűnő képviselői közé tartoznak. A szegfűk egyébként régóta ismert kerti dísznövények. Karcsú termettű, gracilis vadvirág. Hengeres szára elágazó. Lándzsa alakú, sötétzöld, molyhos levelei keresztben átellenes állásúak, ép szélűek. A fehér, öt szirmú virágok magányosak. Az elliptikus-fordított tojásdad szirmok csúcsa mélyen hasadt, ezért tűnhet úgy, mintha tíz szirma lenne. A zöld csészelevelek kilátszanak a szirmok közül. Termése tok. Az egész növény fehéren szőrös. Rétek, útszélek, erdőszélek gyakori virága, tavasztól őszig.											
Réti margitvirág	Chrysanthemum leucanthemum	magányos	lapát	fűrészes	ülő	fészek	fehér	hengeres				A fészkesek családjának talán leismertebb képviselője, amely hazánkban gyakori. Nemesített, nagyvirágú változatait keretekbe ültetik. 20-70 cm magasra nő meg, szára felálló, vörösesbarna árnyalatú lehet. Kétféle levele van: tőlevelei inkább lapát alakúak, nyelesek, szélük fűrészes. Szárlevelei tojásdadok, ülőek, szélük fűrészes. Nagy virágai magányosan állnak a szár végén, 2,5-5 cm átmerőjűek. A csöves virágok élénksárgák (a virágzás előrehaladtával megbarnulnak), a nyelves virágok fehérek. Elvirágzás után a nyelves virágok lehullanak, a csöves virágokból álló vacok kidomborodik. Termése kaszat. Üde és nedves réteken, folyópartokon, erdőszéleken, vágásokban, nyílt hegyi réteken találkozhatunk vele április-augusztus között.											
Réti nyúlhere	Anthyllis vulneraria	fejecske	szárnyalt	ép	nyeles	pillangós	sárga	hengeres				Nyúlszapukának is nevezik. A nemzetség egyes fajtáit takarmánykeverékben ültetik. Mint minden pillangósnak, ennek a fajnak is vannak nitrogéngyűjtő gyökérgümői. Vékony, hengeres szára heverő vagy felemelkedő, fehér szőrrel dúsan borított. Levelei páratlanul szárnyaltak, 7-11 , hosszúkás tojásdad vagy lándzsás, ép szélű levélke alkotja őket. A szárhoz hasonlóan puha, fehér szőrszálak fedik. A száron szórtan helyezkednek el. A virágzat alatt néhány lándzsás, magányos levél gallért alkot. A piros, narancssárga vagy sárga, apró, pillangós virágok szárvégi fürtben nyílnak. A szőrös csészék miatt úgy tűnik, mintha a virágok prémes bundában ülnének. Termése hüvely. Száraz, napos, nyílt réteken, mezőkön virágzik május és június hónapban.											
Réti szegfű	Dianthus deltoides	magányos	szálas	ép	ülő	5 tagú	bíbor	hengeres				Magányos, viszonylag nagy virágai, és a szirmokon látható gyűrű alapján könnyen megkülönböztethető a hasonló fajoktól (barátszegfű, szeplős szegfű). 10-25 cm-es magasságot elérő, elágazó szárú, laza gyepes növekedésű évelő. Levelei különbözők: a tőlevelek szálas-lándzsásak, tompa csúcsúak, szárlevelei szálasak, hegyes csúcsúak, érdes szélűek. Mindkét levél keresztben átellenes állású, szürkészöld. 1-2 cm átmérőjű, bíborvörös virágai magányosan, ritkán kettesével nőnek a szár végén. A szirmok tövén sötét rózsaszín pontok gyűrűt alkotnak, továbbá a szirmon elszórtan fehér pontozás látható. A szirmok széle fűrészes. Csészéjét két, barnás pikkelylevél alkotja, hosszuk a csésze fele. Termése tok. Június-szeptemberben virágzik hegyi réteken, vágásokban, gyepeken. Hazánkban védett, eszmei értéke 5000 forint.											
Réti utifű	Plantago media	füzér	tojásdad	ép	tőálló	redukált	fehér	hengeres				Útilapunak is nevezik. Ha valakinek útilaput kötöttek a talpára, útjára bocsátották. Több jelentése is lehet a kifejezésnek: például felkészítették a hosszú útra, melynek során feltörhetett a lába-amit útifűvel gyógyítottak. Felálló szára egyenes, nem ágazik el, finoman molyhos. Levelei mind tőlevélrózsát alkotnak, a szár levéltelen. Levelei széles tojásdadok, szélük ép, nem tagoltak. Virága aprók, a szár végén füzérben nyílnak, többnyire halvány rózsaszínűek, vagy lilásak. Ennek okai a kilógó porzószálak. A levél alakja alapján megkülönböztethető a lándzsás útifűtől. Ennek virága ráadásul mindig fehér. Termése barna színű ún. csalmatok. Magja apró, fekete. Májustól júliusig virágzik réteken, utak szélén, legelőkön, művelt területek szélén.											
Réti zörgőfű	Crepis biennis	sátorozó	hasogatott	ép	tőálló	fészek	sárga	hengeres				A Crepis nemzetség tagjai igen hasonlítanak egymáshoz. Virágaik sárga színűek. Magyarországon majdnem harminc faj fordul elő. Felálló, elágazó szárú, tőlevélrózsás, egyéves életformájú növény, vagyis egyetlen év alatt hoz hajtást, virágot és termést, majd elpusztul. A tőlevélrózsát alkotó levelek jellegzetesek, hasogatottak (kacúrosak), olyanok, mint a pitypangé. Az alsó szárlevelek ehhez hasonlóak, míg a felsők szálasak. A sárga fészekvirágzatok levegős sátor virágzatban nyílnak egész nyáron át. Termése szőrbóbitás kaszat. Nedves rétek, kaszálók vadvirága.											
Rezes hölgymál	Hieracium aurantiacum	magányos	lándzsás	ép	tőálló	fészek	sárga	hengeres				A hölgymálok nehezen határozhatóak, egymással gyakran hibridizálnak. A rezes hölgymál virágszíne alapján könnyen felismerhető. 15-50 cm magas, tőlevélrózsás évelő. Levelei lándzsás alakúak, ép szélűek, szőrösek. A szárlevelek aprók. A tőkocsány is serteszőrös. A virágok magányosan nyílnak a tőkocsány csúcsán. A nyelves virágok élénk narancssárga színűek. Termése szőrbóbitás kaszat, de legyökeresedő sarjakkal is terjed (csakúgy, mint az ezüstös hölgymál is). Hegyi rétek növénye, nálunk nagyon ritka. Védett, eszmei értéke 10 000 forint.											
Rucaöröm	Salvinia natans		kerekded	ép	ülő							Ugyancsak érdekes megjelenésű növény, melyről nem mindenki gondolná, hogy a harasztok törzsének képviselője, ráadásul a vízi páfrányok közé tartozik. Tápanyagban gazdag, lassú folyású vagy álló vizekben fordul elő, a Tiszán és mellékfolyóin, morotvákban, holtágakban, ahol a víz hamar felmelegszik. A víz felszínén úszik. A levél összetettnek tűnik, ez azonban tulajdonképpen a gyöktörzs, melyek három levélke fejlődik, ebből kettő van a víz színe felett, ezek kerekded, ép szélűek, felületén papillákkal, melyek megakadályozzák, hogy vizes legyen, és elrohadjon. A harmadik levélke módosult, gyökérszerű, a víz alatt található. Virága és termése nincs, spórával szaporodik. Védett faj, eszmei értéke 2000 forint.											
Sajmeggy	Cerasus mahaleb	magányos	kerekded	fűrészes	nyeles		fehér		sima	szürke	csonthéjas	Törökmeggynek is nevezik. Fájából régen pipaszárat készítettek. Termése ehető, kellemes ízű, fűszerként is használják. A madarak is kedvelik. Alacsony (10 m) fa, vagy cserje. Sötétbarna kérge érdes, repedezett. Levelei kerekdedek vagy oválisak, fűrészes szélűek, aprók, 3-5 cm-esek. Csúcsuk kihegyesedő, felületük fényes, fonákjukon szőrösek. A virágai kicsik, fél cm átmérőjűek, fehérek öt tagúak, illatosak. A termése borsszem nagyságú, fényes fekete csonthéjas termés, mely ehető. Száraz, meleg tölgyesek, tisztások, útszélek faja.											
Salátaboglárka	Ficaria verna	magányos	szív	csipkés	nyeles	soktagú	sárga	hengeres				Zsenge, fiatal leveleit tavasszal nyersen lehet fogyasztani, íze a salátalevélére hasonlít, később azonban,a virágzáskor mérgező. Fényes, sárga szirmaival a tavaszi erdők vidám színfoltja. 7-20 cm-es szára nem mindig felálló, inkább kúszó vagy félig heverő. Levelei fényes zöldek, tőállásúak, hosszú nyelűek, kerekdedek, ép vagy csipkés szélűek. Fénylő aranysárga virágai magányosan állnak a szár végén. A virágzás előrehaladtával egyre fakulnak, végül már majdnem fehérek, és fénytelenek. Termése fejecske, melyet aszmagok alkotnak. Üde lomerdők, félárnyékos, nyirkos erdők talaját tavasszal nagy tömegben borítja. Március-május között virágzik. Hazánkban gyakori.											
